,image_id,census_tract_id
485,3609,17031440800.0
486,22217,17031360200.0
487,26337,17031530100.0
488,43527,17031835600.0
489,21027,17031630900.0
490,52644,17031611900.0
491,10211,17031271400.0
492,36835,17031280800.0
493,11554,17031630400.0
494,58915,17031291200.0
495,52741,17031612100.0
496,1793,17031611700.0
497,15929,17031271300.0
498,15985,17031290900.0
499,30134,17031271200.0
500,60016,17031610300.0
501,1677,17031270500.0
502,9301,17031260900.0
503,25641,17031251800.0
504,53177,17031251600.0
505,18054,17031611200.0
506,49917,17031710500.0
507,3629,17031251000.0
508,5845,17031360200.0
509,58042,17031380100.0
510,56386,17031231500.0
511,28900,17031251100.0
512,59460,17031540102.0
513,44712,17031252000.0
514,40721,17031380200.0
515,57660,17031031200.0
516,707,17031491300.0
517,30096,17031251400.0
518,49202,17031251900.0
519,24221,17031260700.0
520,34788,17031260300.0
521,45558,17031460301.0
522,36591,17031843300.0
523,27864,17031440201.0
524,36240,17031836400.0
525,53003,17031836100.0
526,28910,17031841700.0
527,5627,17031835500.0
528,38599,17031834000.0
529,33752,17031660301.0
530,41764,17031838800.0
531,52514,17031836800.0
532,23487,17031833900.0
533,14940,17031834600.0
534,54136,17031430101.0
535,32953,17031440202.0
536,20973,17031390400.0
537,5294,17031843400.0
538,44093,17031843500.0
539,39386,17031842500.0
540,16826,17031834700.0
541,53080,17031834400.0
542,19936,17031838700.0
543,20486,17031841500.0
544,35931,17031837300.0
545,30214,17031010503.0
546,41661,17031837000.0
547,50995,17031540101.0
548,37858,17031831400.0
549,35575,17031838000.0
550,44947,17031838100.0
551,9318,17031381500.0
552,12761,17031843000.0
553,18902,17031842900.0
554,20767,17031835000.0
555,30684,17031843800.0
556,20104,17031251900.0
557,28031,17031260700.0
558,60021,17031611200.0
559,1279,17031691500.0
560,26241,17031691200.0
561,55525,17031691100.0
562,54062,17031710800.0
563,56587,17031681200.0
564,36898,17031420500.0
565,31861,17031420400.0
566,37308,17031420100.0
567,3280,17031351400.0
568,6091,17031410600.0
569,37895,17031681000.0
570,22164,17031680900.0
571,22043,17031440800.0
572,59072,17031420300.0
573,43476,17031460200.0
574,20449,17031420200.0
575,5001,17031430300.0
576,50538,17031681100.0
577,9294,17031680500.0
578,17202,17031400800.0
579,28860,17031400500.0
580,59935,17031400400.0
581,14780,17031390300.0
582,34437,17031670300.0
583,31998,17031670200.0
584,27146,17031430200.0
585,24215,17031350400.0
586,28143,17031340300.0
587,13090,17031340500.0
588,59572,17031660700.0
589,34825,17031430700.0
590,49655,17031461000.0
591,45211,17031681300.0
592,16196,17031690400.0
593,54270,17031612100.0
594,46674,17031611700.0
595,11393,17031271300.0
596,32812,17031290900.0
597,46791,17031271200.0
598,17518,17031610300.0
599,17943,17031270500.0
600,15655,17031260900.0
601,22885,17031251800.0
602,23070,17031251600.0
603,17919,17031611200.0
604,18338,17031260700.0
605,26866,17031251900.0
606,21438,17031251400.0
607,7363,17031491300.0
608,25361,17031031200.0
609,35795,17031380200.0
610,21778,17031690900.0
